"","year","price","Location"
"399",2014,29.999,"Albany"
"400",2012,27.999,"Albany"
"401",2020,47.5,"Albany"
"402",2020,53.517,"Albany"
"403",2020,47.9,"Albany"
"404",2020,58.75,"Albany"
"405",2022,55.995,"Albany"
"406",2014,22.99,"Albany"
"407",2019,37,"Albany"
"408",2020,50.996,"Albany"
"409",2019,42.9,"Albany"
"410",2022,73.99,"Albany"
"411",2019,46.99,"Albany"
"412",2022,58.99,"Albany"
"413",2017,37.995,"Albany"
"414",2018,58.99,"Albany"
"415",2022,55.898,"Albany"
"416",2020,56.5,"Albany"
"417",2020,48.525,"Albany"
"418",2016,34.995,"Albany"
"419",2020,51.1,"Albany"
"420",2016,41.995,"Albany"
"421",2022,77.361,"Albany"
"422",2020,45.9,"Albany"
"423",2019,66.995,"Albany"
"424",2019,71.99,"Albany"
"425",2022,57.987,"Albany"
"426",2019,49.25,"Albany"
"427",2017,34.999,"Albany"
"428",2020,55.75,"Albany"
"429",2014,27.995,"Albany"
"430",2022,47.024,"Albany"
"431",2012,15.995,"Albany"
"432",2021,53.9,"Albany"
"433",2022,50.8,"Albany"
"434",2022,44.95,"Albany"
"435",2022,54.99,"Albany"
"436",2023,51.366,"Albany"
"437",2023,83.981,"Albany"
"438",2017,40.423,"Albany"
"439",2023,56.99,"Albany"
"440",2023,61.994,"Albany"
"441",2022,73.5,"Albany"
"442",2022,89.9,"Albany"
"443",2014,24.882,"Albany"
"444",2017,41.955,"Albany"
"445",2022,68.995,"Albany"
"446",2006,6,"Albany"
"447",2014,23.995,"Albany"
"448",2021,38.5,"Albany"
"449",2016,32.07,"Albany"
"450",2018,26.99,"Albany"
"451",2019,30.977,"Albany"
"452",2023,57.635,"Albany"
"453",2021,85,"Albany"
"454",2022,68.5,"Albany"
"455",2020,44.2,"Albany"
"456",2020,57.35,"Albany"
"457",2016,36.715,"Albany"
"458",2022,69.995,"Albany"
"459",2003,8.495,"Albany"
"460",2022,54.316,"Albany"
"461",2009,17.9,"Albany"
"462",2021,33.6,"Albany"
"463",2019,19.8,"Albany"
"464",2009,13.999,"Albany"
"465",2019,32.997,"Albany"
"466",2015,9.995,"Albany"
"467",2023,102.9,"Albany"
"468",2021,45.821,"Albany"
"469",2015,39.8,"Albany"
"470",2021,43,"Albany"
"471",2017,23.998,"Albany"
"472",2020,40.98,"Albany"
"473",2020,39,"Albany"
"474",2022,64.99,"Albany"
"475",2019,42.995,"Albany"
"476",2016,32.554,"Albany"
"477",2004,10,"Albany"
"478",2023,69.9,"Albany"
"479",2022,63.999,"Albany"
"480",2020,34.5,"Albany"
"481",2022,47.788,"Albany"
"482",2022,69.99,"Albany"
"483",2008,19.495,"Albany"
"484",2019,33.997,"Albany"
"485",2014,28.999,"Albany"
"486",2020,58.027,"Albany"
"487",2020,59.9,"Albany"
"488",2024,73.905,"Albany"
"489",2012,18.995,"Albany"
"490",2021,48.5,"Albany"
"491",2017,42.995,"Albany"
"492",2021,48.8,"Albany"
"493",2023,59.99,"Albany"
"494",2022,52.995,"Albany"
"495",2023,69.9,"Albany"
"496",2023,47.474,"Albany"
"497",2015,26.999,"Albany"
"498",2018,28.7,"Albany"
"499",2017,29.999,"Albany"
"500",2017,34.995,"Albany"
"501",2017,29.999,"Albany"
"502",2016,31,"Albany"
"503",2019,39.995,"Albany"
"504",2022,61.17,"Albany"
"505",2016,26.995,"Albany"
"506",2021,69.378,"Albany"
"507",2019,54.896,"Albany"
"508",2019,31.995,"Albany"
"509",2023,80.088,"Albany"
"510",2022,41.476,"Albany"
"511",2019,38.5,"Albany"
"512",2015,38.407,"Albany"
"513",2023,60.995,"Albany"
"514",2022,41.25,"Albany"
"515",2015,28.99,"Albany"
"516",2022,62.913,"Albany"
"517",2017,30.994,"Albany"
"518",2019,38,"Albany"
"519",2012,15.995,"Albany"
"520",2022,75,"Albany"
"521",2019,40.99,"Albany"
"522",2023,63.977,"Albany"
"523",2016,29.995,"Albany"
"524",2022,42.987,"Albany"
"525",2008,9.999,"Albany"
"526",2017,49.51,"Albany"
"527",2012,10.5,"Albany"
"528",2008,17.9,"Albany"
"529",2022,47.977,"Albany"
"530",2022,42.957,"Albany"
"531",2018,35.5,"Albany"
"532",2015,27.999,"Albany"
"533",2022,46.992,"Albany"
"534",2022,60.5,"Albany"
"535",2020,49.995,"Albany"
"536",2015,28.5,"Albany"
"537",2021,39.882,"Albany"
"538",2011,19.5,"Albany"
"539",2022,49.995,"Albany"
"540",2022,47.99,"Albany"
"541",2019,44.99,"Albany"
"542",2020,46.995,"Albany"
"543",2019,27.995,"Albany"
"544",2016,25.999,"Albany"
"545",2023,107.99,"Albany"
"546",2022,64.995,"Albany"
"547",2016,35.979,"Albany"
"548",2015,28.999,"Albany"
"549",2009,24.857,"Albany"
"550",2022,129.5,"Albany"
"551",2017,26.8,"Albany"
"552",2021,41.2,"Albany"
"553",2010,18,"Albany"
"554",2022,45.899,"Albany"
"555",2020,27.11,"Albany"
"556",2016,31.99,"Albany"
"557",2022,36.949,"Albany"
"558",2022,48.3,"Albany"
"559",2021,37.995,"Albany"
"560",2021,37.995,"Albany"
"561",2020,34.99,"Albany"
"562",2023,64,"Albany"
"563",2017,29.99,"Albany"
"564",2021,36.819,"Albany"
"565",2020,31.25,"Albany"
"566",2013,12.995,"Albany"
"567",2013,12.75,"Albany"
"568",2014,17.999,"Albany"
"569",2020,35.995,"Albany"
"570",2015,22.492,"Albany"
"571",2016,30.569,"Albany"
"572",2023,47.8,"Albany"
"573",2018,27.419,"Albany"
"574",2023,48.504,"Albany"
"575",2021,33.485,"Albany"
"576",2020,36.995,"Albany"
"577",2021,43,"Albany"
"578",2021,33.45,"Albany"
"579",2021,48.75,"Albany"
"580",2022,45.695,"Albany"
"581",2021,36,"Albany"
"582",2022,46.5,"Albany"
"583",2021,34.988,"Albany"
"584",2014,8.544,"Albany"
"585",2021,35.505,"Albany"
"586",2021,35.8,"Albany"
"587",2021,32.8,"Albany"
"588",2020,33.995,"Albany"
"589",2023,51.445,"Albany"
"590",2011,11.919,"Albany"
"591",2021,43.464,"Albany"
"592",2013,15.995,"Albany"
"593",2016,26.5,"Albany"
"594",2020,34.88,"Albany"
"595",2020,31.5,"Albany"
"596",2021,49.99,"Albany"
"597",2016,24.45,"Albany"
"598",2023,43.475,"Albany"
"599",2022,39,"Albany"
"600",2021,41.995,"Albany"
"601",2021,35.995,"Albany"
"602",2020,31.995,"Albany"
"603",2016,23.9,"Albany"
"604",2020,39.495,"Albany"
"605",2020,33,"Albany"
"606",2023,56.5,"Albany"
"607",2017,35.898,"Albany"
"608",2016,24.995,"Albany"
